"filename", "language", "JSON", "TypeScript", "JSON with Comments", "TypeScript JSX", "CSS", "XML", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\React——Editor\client\src\lib\utils.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Lenovo\Desktop\React——Editor\client\src\main.tsx", "TypeScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 6, 13
"c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\ai\hooks.ts", "TypeScript", 0, 139, 0, 0, 0, 0, 0, 0, 0, 37, 20, 196
"c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\ai\index.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 3, 19
"c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\ai\services.ts", "TypeScript", 0, 100, 0, 0, 0, 0, 0, 0, 0, 27, 25, 152
"c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\ai\store.ts", "TypeScript", 0, 140, 0, 0, 0, 0, 0, 0, 0, 18, 23, 181
"c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\ai\type.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 19, 16, 78
"c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\auth\hooks.ts", "TypeScript", 0, 84, 0, 0, 0, 0, 0, 0, 0, 14, 21, 119
"c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\auth\index.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 7, 5, 35
"c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\auth\services.ts", "TypeScript", 0, 98, 0, 0, 0, 0, 0, 0, 0, 10, 17, 125
"c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\auth\store.ts", "TypeScript", 0, 147, 0, 0, 0, 0, 0, 0, 0, 10, 22, 179
"c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\auth\types.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 7, 14, 63
"c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\collaboration\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 327, 0, 0, 0, 84, 411
"c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\collaboration\hooks.ts", "TypeScript", 0, 283, 0, 0, 0, 0, 0, 0, 0, 35, 64, 382
"c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\collaboration\index.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 7, 5, 43
"c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\collaboration\services.ts", "TypeScript", 0, 207, 0, 0, 0, 0, 0, 0, 0, 21, 42, 270
"c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\collaboration\store.ts", "TypeScript", 0, 113, 0, 0, 0, 0, 0, 0, 0, 17, 18, 148
"c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\collaboration\types.ts", "TypeScript", 0, 70, 0, 0, 0, 0, 0, 0, 0, 20, 19, 109
"c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\collaboration\yjs\socket-provider.ts", "TypeScript", 0, 291, 0, 0, 0, 0, 0, 0, 0, 52, 56, 399
"c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\index.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 6, 4, 13
"c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\playground\hooks.ts", "TypeScript", 0, 112, 0, 0, 0, 0, 0, 0, 0, 13, 25, 150
"c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\playground\index.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 7, 5, 35
"c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\playground\services.ts", "TypeScript", 0, 67, 0, 0, 0, 0, 0, 0, 0, 12, 16, 95
"c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\playground\store.ts", "TypeScript", 0, 125, 0, 0, 0, 0, 0, 0, 0, 15, 31, 171
"c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\playground\types.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 9, 12, 52
"c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\room\hooks.ts", "TypeScript", 0, 100, 0, 0, 0, 0, 0, 0, 0, 11, 21, 132
"c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\room\service.ts", "TypeScript", 0, 82, 0, 0, 0, 0, 0, 0, 0, 13, 20, 115
"c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\room\store.ts", "TypeScript", 0, 211, 0, 0, 0, 0, 0, 0, 0, 26, 20, 257
"c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\room\types.ts", "TypeScript", 0, 68, 0, 0, 0, 0, 0, 0, 0, 16, 13, 97
"c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\AuthCallback.tsx", "TypeScript JSX", 0, 0, 0, 67, 0, 0, 0, 0, 0, 6, 14, 87
"c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\CreateRoomPage.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 3, 28
"c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 350, 0, 0, 0, 0, 0, 8, 18, 376
"c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\EditorFilesPage.tsx", "TypeScript JSX", 0, 0, 0, 81, 0, 0, 0, 0, 0, 11, 12, 104
"c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\EditorSigelPage.tsx", "TypeScript JSX", 0, 0, 0, 142, 0, 0, 0, 0, 0, 36, 24, 202
"c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\Login.tsx", "TypeScript JSX", 0, 0, 0, 205, 0, 0, 0, 0, 0, 7, 25, 237
"c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\NotFound.tsx", "TypeScript JSX", 0, 0, 0, 52, 0, 0, 0, 0, 0, 2, 11, 65
"c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\Preview.tsx", "TypeScript JSX", 0, 0, 0, 109, 0, 0, 0, 0, 0, 19, 13, 141
"c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\Register.tsx", "TypeScript JSX", 0, 0, 0, 267, 0, 0, 0, 0, 0, 5, 29, 301
"c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\RoomEditorPage.tsx", "TypeScript JSX", 0, 0, 0, 113, 0, 0, 0, 0, 0, 19, 18, 150
"c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\RoomsPage.tsx", "TypeScript JSX", 0, 0, 0, 91, 0, 0, 0, 0, 0, 3, 7, 101
"c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\home.tsx", "TypeScript JSX", 0, 0, 0, 179, 0, 0, 0, 0, 0, 11, 27, 217
"c:\Users\Lenovo\Desktop\React——Editor\client\src\template\App.css", "CSS", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 8, 65
"c:\Users\Lenovo\Desktop\React——Editor\client\src\template\App.tsx", "TypeScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Lenovo\Desktop\React——Editor\client\src\template\import-map.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Lenovo\Desktop\React——Editor\client\src\template\main.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Lenovo\Desktop\React——Editor\client\src\types\types.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 7, 49
"c:\Users\Lenovo\Desktop\React——Editor\client\src\types\users\type.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
