Date : 2025-12-24 01:38:02
Directory : c:\Users\Lenovo\Desktop\React——Editor\server
Total : 194 files,  -25408 codes, -816 comments, -978 blanks, all -27202 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\sonner.tsx                           | TypeScript JSX     |        -35 |          0 |         -4 |        -39 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\tooltip.tsx                          | TypeScript JSX     |        -54 |          0 |         -8 |        -62 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\core\config\GlobalConfigContext.tsx                | TypeScript JSX     |        -91 |         -9 |        -27 |       -127 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\core\config\index.ts                               | TypeScript         |        -11 |          0 |         -1 |        -12 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\core\i18n\index.ts                                 | TypeScript         |        -19 |         -1 |         -4 |        -24 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\core\i18n\locales\en-US.ts                         | TypeScript         |       -107 |         -9 |         -9 |       -125 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\core\i18n\locales\zh-CN.ts                         | TypeScript         |       -107 |         -9 |         -9 |       -125 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\core\index.ts                                      | TypeScript         |         -2 |         -5 |         -3 |        -10 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\core\store\index.ts                                | TypeScript         |        -11 |         -4 |         -3 |        -18 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\core\store\registry.ts                             | TypeScript         |        -49 |        -20 |        -19 |        -88 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\index.css                                          | CSS                |       -203 |         -8 |        -26 |       -237 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\lib\utils.ts                                       | TypeScript         |         -5 |          0 |         -2 |         -7 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\main.tsx                                           | TypeScript JSX     |         -7 |          0 |         -6 |        -13 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\ai\hooks.ts                                | TypeScript         |       -139 |        -37 |        -20 |       -196 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\ai\index.ts                                | TypeScript         |        -12 |         -4 |         -3 |        -19 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\ai\services.ts                             | TypeScript         |       -100 |        -27 |        -25 |       -152 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\ai\store.ts                                | TypeScript         |       -140 |        -18 |        -23 |       -181 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\ai\type.ts                                 | TypeScript         |        -43 |        -19 |        -16 |        -78 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\auth\hooks.ts                              | TypeScript         |        -84 |        -14 |        -21 |       -119 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\auth\index.ts                              | TypeScript         |        -23 |         -7 |         -5 |        -35 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\auth\services.ts                           | TypeScript         |        -98 |        -10 |        -17 |       -125 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\auth\store.ts                              | TypeScript         |       -147 |        -10 |        -22 |       -179 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\auth\types.ts                              | TypeScript         |        -42 |         -7 |        -14 |        -63 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\collaboration\README.md                    | Markdown           |       -327 |          0 |        -84 |       -411 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\collaboration\hooks.ts                     | TypeScript         |       -283 |        -35 |        -64 |       -382 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\collaboration\index.ts                     | TypeScript         |        -31 |         -7 |         -5 |        -43 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\collaboration\services.ts                  | TypeScript         |       -207 |        -21 |        -42 |       -270 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\collaboration\store.ts                     | TypeScript         |       -113 |        -17 |        -18 |       -148 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\collaboration\types.ts                     | TypeScript         |        -70 |        -20 |        -19 |       -109 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\collaboration\yjs\socket-provider.ts       | TypeScript         |       -291 |        -52 |        -56 |       -399 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\index.ts                                   | TypeScript         |         -3 |         -6 |         -4 |        -13 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\playground\hooks.ts                        | TypeScript         |       -112 |        -13 |        -25 |       -150 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\playground\index.ts                        | TypeScript         |        -23 |         -7 |         -5 |        -35 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\playground\services.ts                     | TypeScript         |        -67 |        -12 |        -16 |        -95 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\playground\store.ts                        | TypeScript         |       -125 |        -15 |        -31 |       -171 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\playground\types.ts                        | TypeScript         |        -31 |         -9 |        -12 |        -52 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\room\hooks.ts                              | TypeScript         |       -100 |        -11 |        -21 |       -132 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\room\service.ts                            | TypeScript         |        -82 |        -13 |        -20 |       -115 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\room\store.ts                              | TypeScript         |       -211 |        -26 |        -20 |       -257 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\modules\room\types.ts                              | TypeScript         |        -68 |        -16 |        -13 |        -97 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\AuthCallback.tsx                             | TypeScript JSX     |        -67 |         -6 |        -14 |        -87 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\CreateRoomPage.tsx                           | TypeScript JSX     |        -23 |         -2 |         -3 |        -28 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\Dashboard.tsx                                | TypeScript JSX     |       -350 |         -8 |        -18 |       -376 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\EditorFilesPage.tsx                          | TypeScript JSX     |        -81 |        -11 |        -12 |       -104 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\EditorSigelPage.tsx                          | TypeScript JSX     |       -142 |        -36 |        -24 |       -202 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\Login.tsx                                    | TypeScript JSX     |       -205 |         -7 |        -25 |       -237 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\NotFound.tsx                                 | TypeScript JSX     |        -52 |         -2 |        -11 |        -65 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\Preview.tsx                                  | TypeScript JSX     |       -109 |        -19 |        -13 |       -141 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\Register.tsx                                 | TypeScript JSX     |       -267 |         -5 |        -29 |       -301 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\RoomEditorPage.tsx                           | TypeScript JSX     |       -113 |        -19 |        -18 |       -150 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\RoomsPage.tsx                                | TypeScript JSX     |        -91 |         -3 |         -7 |       -101 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\home.tsx                                     | TypeScript JSX     |       -179 |        -11 |        -27 |       -217 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\template\App.css                                   | CSS                |        -57 |          0 |         -8 |        -65 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\template\App.tsx                                   | TypeScript JSX     |        -14 |          0 |         -3 |        -17 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\template\import-map.json                           | JSON               |         -6 |          0 |          0 |         -6 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\template\main.tsx                                  | TypeScript JSX     |         -8 |          0 |         -2 |        -10 |
